Sector;Fecha;Valor
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2014;10.821
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2015;11.487
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2015;11.504
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2015;12.236
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2015;12.896
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2016;13.502
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2016;13.994
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2016;14.411
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2016;15.158
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2017;14.802
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2017;14.346
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2017;14.828
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2017;14.839
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2018;15.103
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2018;15.451
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2018;15.371
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2018;15.572
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2019;15.696
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2019;16.715
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2019;17.496
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2019;17.923
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2020;18.675
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2020;18.714
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2020;19.177
Agricultura, ganadería, caza, silvicultura y pesca;31/10/2020;20.107
Agricultura, ganadería, caza, silvicultura y pesca;31/01/2021;21.326
Agricultura, ganadería, caza, silvicultura y pesca;30/04/2021;22.725
Agricultura, ganadería, caza, silvicultura y pesca;31/07/2021;23.817
Explotación de minas y canteras;31/10/2014;14.544
Explotación de minas y canteras;31/01/2015;12.648
Explotación de minas y canteras;30/04/2015;12.163
Explotación de minas y canteras;31/07/2015;12.130
Explotación de minas y canteras;31/10/2015;10.686
Explotación de minas y canteras;31/01/2016;9.727
Explotación de minas y canteras;30/04/2016;10.017
Explotación de minas y canteras;31/07/2016;10.088
Explotación de minas y canteras;31/10/2016;11.167
Explotación de minas y canteras;31/01/2017;11.740
Explotación de minas y canteras;30/04/2017;11.232
Explotación de minas y canteras;31/07/2017;11.657
Explotación de minas y canteras;31/10/2017;12.909
Explotación de minas y canteras;31/01/2018;14.012
Explotación de minas y canteras;30/04/2018;14.528
Explotación de minas y canteras;31/07/2018;14.787
Explotación de minas y canteras;31/10/2018;14.461
Explotación de minas y canteras;31/01/2019;14.763
Explotación de minas y canteras;30/04/2019;14.950
Explotación de minas y canteras;31/07/2019;13.974
Explotación de minas y canteras;31/10/2019;14.497
Explotación de minas y canteras;31/01/2020;13.133
Explotación de minas y canteras;30/04/2020;7.486
Explotación de minas y canteras;31/07/2020;9.947
Explotación de minas y canteras;31/10/2020;10.497
Explotación de minas y canteras;31/01/2021;13.513
Explotación de minas y canteras;30/04/2021;14.523
Explotación de minas y canteras;31/07/2021;16.512
Industrias manufactureras;31/10/2014;23.596
Industrias manufactureras;31/01/2015;23.935
Industrias manufactureras;30/04/2015;24.296
Industrias manufactureras;31/07/2015;25.532
Industrias manufactureras;31/10/2015;26.027
Industrias manufactureras;31/01/2016;26.551
Industrias manufactureras;30/04/2016;26.681
Industrias manufactureras;31/07/2016;26.376
Industrias manufactureras;31/10/2016;26.617
Industrias manufactureras;31/01/2017;26.393
Industrias manufactureras;30/04/2017;25.969
Industrias manufactureras;31/07/2017;26.216
Industrias manufactureras;31/10/2017;26.444
Industrias manufactureras;31/01/2018;26.903
Industrias manufactureras;30/04/2018;27.492
Industrias manufactureras;31/07/2018;27.677
Industrias manufactureras;31/10/2018;28.084
Industrias manufactureras;31/01/2019;27.909
Industrias manufactureras;30/04/2019;28.753
Industrias manufactureras;31/07/2019;29.355
Industrias manufactureras;31/10/2019;29.817
Industrias manufactureras;31/01/2020;29.095
Industrias manufactureras;30/04/2020;21.867
Industrias manufactureras;31/07/2020;28.355
Industrias manufactureras;31/10/2020;31.158
Industrias manufactureras;31/01/2021;32.508
Industrias manufactureras;30/04/2021;31.626
Industrias manufactureras;31/07/2021;37.154
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2014;5.584
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2015;5.587
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2015;5.823
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2015;6.133
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2015;7.056
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2016;7.343
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2016;6.539
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2016;6.742
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2016;7.000
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2017;7.177
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2017;7.342
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2017;7.541
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2017;7.729
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2018;7.894
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2018;8.020
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2018;8.207
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2018;8.495
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2019;8.778
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2019;8.995
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2019;9.079
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2019;9.279
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2020;9.523
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2020;8.629
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2020;8.980
Suministro de electricidad, gas, vapor y aire acondicionado;31/10/2020;9.320
Suministro de electricidad, gas, vapor y aire acondicionado;31/01/2021;9.610
Suministro de electricidad, gas, vapor y aire acondicionado;30/04/2021;9.985
Suministro de electricidad, gas, vapor y aire acondicionado;31/07/2021;10.530
Construcción;31/10/2014;14.079
Construcción;31/01/2015;14.079
Construcción;30/04/2015;14.624
Construcción;31/07/2015;14.083
Construcción;31/10/2015;15.256
Construcción;31/01/2016;15.477
Construcción;30/04/2016;16.011
Construcción;31/07/2016;16.640
Construcción;31/10/2016;16.197
Construcción;31/01/2017;15.876
Construcción;30/04/2017;16.405
Construcción;31/07/2017;16.146
Construcción;31/10/2017;16.047
Construcción;31/01/2018;15.884
Construcción;30/04/2018;15.727
Construcción;31/07/2018;16.991
Construcción;31/10/2018;16.508
Construcción;31/01/2019;16.578
Construcción;30/04/2019;16.392
Construcción;31/07/2019;16.396
Construcción;31/10/2019;16.944
Construcción;31/01/2020;14.622
Construcción;30/04/2020;10.749
Construcción;31/07/2020;12.767
Construcción;31/10/2020;13.510
Construcción;31/01/2021;14.194
Construcción;30/04/2021;13.535
Construcción;31/07/2021;13.668
Comercio al por mayor y al por menor;31/10/2014;31.195
Comercio al por mayor y al por menor;31/01/2015;32.005
Comercio al por mayor y al por menor;30/04/2015;33.180
Comercio al por mayor y al por menor;31/07/2015;34.273
Comercio al por mayor y al por menor;31/10/2015;35.971
Comercio al por mayor y al por menor;31/01/2016;37.045
Comercio al por mayor y al por menor;30/04/2016;37.794
Comercio al por mayor y al por menor;31/07/2016;38.249
Comercio al por mayor y al por menor;31/10/2016;39.597
Comercio al por mayor y al por menor;31/01/2017;39.805
Comercio al por mayor y al por menor;30/04/2017;40.449
Comercio al por mayor y al por menor;31/07/2017;41.061
Comercio al por mayor y al por menor;31/10/2017;41.738
Comercio al por mayor y al por menor;31/01/2018;42.526
Comercio al por mayor y al por menor;30/04/2018;42.959
Comercio al por mayor y al por menor;31/07/2018;43.654
Comercio al por mayor y al por menor;31/10/2018;44.569
Comercio al por mayor y al por menor;31/01/2019;45.706
Comercio al por mayor y al por menor;30/04/2019;46.831
Comercio al por mayor y al por menor;31/07/2019;47.636
Comercio al por mayor y al por menor;31/10/2019;48.108
Comercio al por mayor y al por menor;31/01/2020;48.699
Comercio al por mayor y al por menor;30/04/2020;31.020
Comercio al por mayor y al por menor;31/07/2020;37.832
Comercio al por mayor y al por menor;31/10/2020;45.662
Comercio al por mayor y al por menor;31/01/2021;49.189
Comercio al por mayor y al por menor;30/04/2021;45.684
Comercio al por mayor y al por menor;31/07/2021;52.450
Información y comunicaciones;31/10/2014;5.900
Información y comunicaciones;31/01/2015;5.886
Información y comunicaciones;30/04/2015;5.899
Información y comunicaciones;31/07/2015;6.036
Información y comunicaciones;31/10/2015;6.140
Información y comunicaciones;31/01/2016;6.159
Información y comunicaciones;30/04/2016;6.239
Información y comunicaciones;31/07/2016;6.364
Información y comunicaciones;31/10/2016;6.360
Información y comunicaciones;31/01/2017;6.559
Información y comunicaciones;30/04/2017;6.691
Información y comunicaciones;31/07/2017;6.618
Información y comunicaciones;31/10/2017;6.953
Información y comunicaciones;31/01/2018;6.898
Información y comunicaciones;30/04/2018;7.012
Información y comunicaciones;31/07/2018;7.178
Información y comunicaciones;31/10/2018;7.260
Información y comunicaciones;31/01/2019;7.250
Información y comunicaciones;30/04/2019;7.356
Información y comunicaciones;31/07/2019;7.339
Información y comunicaciones;31/10/2019;7.514
Información y comunicaciones;31/01/2020;7.558
Información y comunicaciones;30/04/2020;6.818
Información y comunicaciones;31/07/2020;7.171
Información y comunicaciones;31/10/2020;7.337
Información y comunicaciones;31/01/2021;7.764
Información y comunicaciones;30/04/2021;7.643
Información y comunicaciones;31/07/2021;8.087
Actividades financieras y de seguros;31/10/2014;8.058
Actividades financieras y de seguros;31/01/2015;8.697
Actividades financieras y de seguros;30/04/2015;8.652
Actividades financieras y de seguros;31/07/2015;8.746
Actividades financieras y de seguros;31/10/2015;8.601
Actividades financieras y de seguros;31/01/2016;8.597
Actividades financieras y de seguros;30/04/2016;8.409
Actividades financieras y de seguros;31/07/2016;8.491
Actividades financieras y de seguros;31/10/2016;8.827
Actividades financieras y de seguros;31/01/2017;9.142
Actividades financieras y de seguros;30/04/2017;9.704
Actividades financieras y de seguros;31/07/2017;9.801
Actividades financieras y de seguros;31/10/2017;10.413
Actividades financieras y de seguros;31/01/2018;10.163
Actividades financieras y de seguros;30/04/2018;10.694
Actividades financieras y de seguros;31/07/2018;10.649
Actividades financieras y de seguros;31/10/2018;11.121
Actividades financieras y de seguros;31/01/2019;11.285
Actividades financieras y de seguros;30/04/2019;11.676
Actividades financieras y de seguros;31/07/2019;12.018
Actividades financieras y de seguros;31/10/2019;12.003
Actividades financieras y de seguros;31/01/2020;11.863
Actividades financieras y de seguros;30/04/2020;11.829
Actividades financieras y de seguros;31/07/2020;12.443
Actividades financieras y de seguros;31/10/2020;12.733
Actividades financieras y de seguros;31/01/2021;12.817
Actividades financieras y de seguros;30/04/2021;12.827
Actividades financieras y de seguros;31/07/2021;13.271
Actividades inmobiliarias;31/10/2014;16.715
Actividades inmobiliarias;31/01/2015;16.962
Actividades inmobiliarias;30/04/2015;17.269
Actividades inmobiliarias;31/07/2015;17.612
Actividades inmobiliarias;31/10/2015;17.983
Actividades inmobiliarias;31/01/2016;18.362
Actividades inmobiliarias;30/04/2016;18.760
Actividades inmobiliarias;31/07/2016;19.103
Actividades inmobiliarias;31/10/2016;19.420
Actividades inmobiliarias;31/01/2017;19.740
Actividades inmobiliarias;30/04/2017;20.064
Actividades inmobiliarias;31/07/2017;20.404
Actividades inmobiliarias;31/10/2017;20.768
Actividades inmobiliarias;31/01/2018;21.140
Actividades inmobiliarias;30/04/2018;21.510
Actividades inmobiliarias;31/07/2018;21.893
Actividades inmobiliarias;31/10/2018;22.283
Actividades inmobiliarias;31/01/2019;22.652
Actividades inmobiliarias;30/04/2019;23.010
Actividades inmobiliarias;31/07/2019;23.304
Actividades inmobiliarias;31/10/2019;23.604
Actividades inmobiliarias;31/01/2020;23.869
Actividades inmobiliarias;30/04/2020;23.965
Actividades inmobiliarias;31/07/2020;24.179
Actividades inmobiliarias;31/10/2020;24.369
Actividades inmobiliarias;31/01/2021;24.617
Actividades inmobiliarias;30/04/2021;24.825
Actividades inmobiliarias;31/07/2021;25.077
Actividades profesionales, científicas y técnicas;31/10/2014;14.278
Actividades profesionales, científicas y técnicas;31/01/2015;14.082
Actividades profesionales, científicas y técnicas;30/04/2015;14.174
Actividades profesionales, científicas y técnicas;31/07/2015;14.676
Actividades profesionales, científicas y técnicas;31/10/2015;14.460
Actividades profesionales, científicas y técnicas;31/01/2016;14.583
Actividades profesionales, científicas y técnicas;30/04/2016;14.790
Actividades profesionales, científicas y técnicas;31/07/2016;15.045
Actividades profesionales, científicas y técnicas;31/10/2016;15.225
Actividades profesionales, científicas y técnicas;31/01/2017;15.383
Actividades profesionales, científicas y técnicas;30/04/2017;15.621
Actividades profesionales, científicas y técnicas;31/07/2017;15.831
Actividades profesionales, científicas y técnicas;31/10/2017;16.063
Actividades profesionales, científicas y técnicas;31/01/2018;16.505
Actividades profesionales, científicas y técnicas;30/04/2018;16.860
Actividades profesionales, científicas y técnicas;31/07/2018;17.024
Actividades profesionales, científicas y técnicas;31/10/2018;17.208
Actividades profesionales, científicas y técnicas;31/01/2019;17.611
Actividades profesionales, científicas y técnicas;30/04/2019;18.094
Actividades profesionales, científicas y técnicas;31/07/2019;18.223
Actividades profesionales, científicas y técnicas;31/10/2019;18.509
Actividades profesionales, científicas y técnicas;31/01/2020;18.635
Actividades profesionales, científicas y técnicas;30/04/2020;16.324
Actividades profesionales, científicas y técnicas;31/07/2020;17.300
Actividades profesionales, científicas y técnicas;31/10/2020;18.314
Actividades profesionales, científicas y técnicas;31/01/2021;19.306
Actividades profesionales, científicas y técnicas;30/04/2021;19.416
Actividades profesionales, científicas y técnicas;31/07/2021;20.197
Administración pública y defensa;31/10/2014;26.611
Administración pública y defensa;31/01/2015;27.233
Administración pública y defensa;30/04/2015;27.797
Administración pública y defensa;31/07/2015;29.420
Administración pública y defensa;31/10/2015;27.627
Administración pública y defensa;31/01/2016;29.577
Administración pública y defensa;30/04/2016;30.760
Administración pública y defensa;31/07/2016;31.419
Administración pública y defensa;31/10/2016;31.756
Administración pública y defensa;31/01/2017;32.606
Administración pública y defensa;30/04/2017;33.712
Administración pública y defensa;31/07/2017;34.123
Administración pública y defensa;31/10/2017;34.794
Administración pública y defensa;31/01/2018;35.779
Administración pública y defensa;30/04/2018;36.545
Administración pública y defensa;31/07/2018;37.176
Administración pública y defensa;31/10/2018;37.717
Administración pública y defensa;31/01/2019;38.634
Administración pública y defensa;30/04/2019;39.901
Administración pública y defensa;31/07/2019;40.479
Administración pública y defensa;31/10/2019;40.748
Administración pública y defensa;31/01/2020;41.139
Administración pública y defensa;30/04/2020;40.000
Administración pública y defensa;31/07/2020;41.297
Administración pública y defensa;31/10/2020;42.340
Administración pública y defensa;31/01/2021;42.885
Administración pública y defensa;30/04/2021;43.926
Administración pública y defensa;31/07/2021;45.400
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2014;4.603
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2015;4.645
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2015;4.689
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2015;4.771
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2015;4.877
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2016;5.000
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2016;5.083
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2016;5.186
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2016;5.282
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2017;5.395
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2017;5.443
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2017;5.618
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2017;5.770
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2018;5.484
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2018;5.663
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2018;5.874
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2018;6.145
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2019;6.430
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2019;6.713
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2019;6.866
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2019;7.058
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2020;6.994
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2020;4.530
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2020;6.182
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/10/2020;6.761
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/01/2021;7.717
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;30/04/2021;8.244
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;31/07/2021;8.304
Producto interno bruto;31/10/2014;194.108
Producto interno bruto;31/01/2015;195.624
Producto interno bruto;30/04/2015;197.314
Producto interno bruto;31/07/2015;205.350
Producto interno bruto;31/10/2015;206.404
Producto interno bruto;31/01/2016;210.727
Producto interno bruto;30/04/2016;213.753
Producto interno bruto;31/07/2016;217.123
Producto interno bruto;31/10/2016;222.179
Producto interno bruto;31/01/2017;224.421
Producto interno bruto;30/04/2017;227.975
Producto interno bruto;31/07/2017;232.171
Producto interno bruto;31/10/2017;235.904
Producto interno bruto;31/01/2018;240.165
Producto interno bruto;30/04/2018;244.809
Producto interno bruto;31/07/2018;250.035
Producto interno bruto;31/10/2018;252.782
Producto interno bruto;31/01/2019;255.503
Producto interno bruto;30/04/2019;264.233
Producto interno bruto;31/07/2019;268.082
Producto interno bruto;31/10/2019;273.302
Producto interno bruto;31/01/2020;267.397
Producto interno bruto;30/04/2020;221.337
Producto interno bruto;31/07/2020;246.729
Producto interno bruto;31/10/2020;267.459
Producto interno bruto;31/01/2021;278.254
Producto interno bruto;30/04/2021;281.225
Producto interno bruto;31/07/2021;305.156
